BATTERS - NYM,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
NimmoCF,4,2,2,0,1,1,1,.277,.793
"Marte, SRF",5,2,2,1,0,2,1,.279,.757
LindorSS,5,1,1,2,0,1,3,.255,.778
Alonso1B,5,2,3,5,0,2,0,.285,.919
McNeilLF,5,0,1,0,0,3,1,.311,.808
CanhaLF,0,0,0,0,0,0,0,.291,.741
Guillorme2B,4,0,1,0,0,0,1,.351,.876
Escobar3B,4,1,2,1,0,1,1,.232,.688
PlummerDH,3,0,0,0,0,0,3,.333,1.302
"a-Davis, JPH-DH",1,0,0,0,0,1,0,.247,.691
MazeikaC,3,1,1,0,1,0,1,.184,.547
,39,9,13,9,2,11,12,,
