Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2016,,20.8,9,7.5,2,1,9,1,11.1
2017,,21.6,23,23.9,-1,6,16,11,47.8
2018,,20.5,21,23.1,-2,8,16,10,47.6
2019,,21.2,23,22.1,1,11,14,10,43.5
2020,,22.2,3,4.5,-2,4,3,2,66.7
2021,,21.4,15,15.5,-1,8,12,7,46.7
2022,,23.0,17,15.5,2,9,13,6,35.3
Player,,21.5,111,112.1,-1,47,83,47,42.3
