Season,Pitches,Zone %,Zone Swing %,Zone Contact %,Chase %,Chase Contact %,Edge %,1st Pitch Swing %,Swing %,Whiff %,Meatball %,Meatball Swing %
2015,677,48.7,59.4,82.1,23.9,54.2,43.4,24.9,41.2,25.8,7.2,75.5
2016,766,50.5,61.2,72.2,21.6,35.4,47.3,29.0,41.6,36.4,8.0,72.1
2017,"2,120",50.2,59.6,85.3,16.2,55.9,46.3,24.3,37.9,20.9,7.3,70.6
2018,"2,246",51.0,59.8,84.2,19.0,41.8,42.7,27.8,39.8,25.4,8.0,71.5
2019,"2,604",48.6,61.6,87.3,16.4,53.0,41.6,25.7,38.4,20.2,7.7,71.0
2020,499,47.5,58.2,80.4,20.2,52.8,43.5,20.8,38.3,27.2,6.0,83.3
2021,"2,374",50.4,59.9,83.4,16.1,50.0,40.9,20.2,38.2,23.6,7.3,76.4
2022,"2,505",51.9,60.9,82.8,21.6,46.5,43.2,24.3,42.0,26.0,8.0,74.0
Player,"13,791",50.2,60.3,83.6,18.5,48.7,43.1,24.6,39.5,24.3,7.6,73.1
MLB,,48.5,66.9,82.0,28.4,58.3,42.6,29.5,47.1,24.7,7.2,76.1
