Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2016,R,181,1,0.6,.329,.878
2017,R,528,7,1.3,.398,.427
2018,R,568,30,5.3,.356,.414
2019,R,650,36,5.5,.348,.358
2020,R,122,12,9.8,.284,.190
2021,R,557,41,7.4,.315,.350
2022,R,618,14,2.3,.306,.175
