BATTERS - CIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
India2B,3,0,0,0,1,0,1,.244,.693
"Reynolds, M1B",1,0,0,0,0,0,0,.249,.663
SenzelCF,5,0,1,0,0,1,2,.247,.620
"Farmer, KDH",4,1,2,0,0,1,1,.258,.704
Votto1B,3,1,2,1,0,0,1,.219,.731
"Lopez, A2B",0,0,0,0,0,0,0,.242,.603
Solano3B,3,0,0,0,1,1,5,.298,.791
Almora Jr.RF,3,0,0,0,1,1,2,.233,.641
FraleyLF,2,0,0,1,1,0,2,.209,.662
BarreroSS,4,0,1,0,0,2,3,.200,.640
PapierskiC,4,0,0,0,0,1,2,.135,.414
,32,2,6,2,4,7,19,,
