PITCHERS - CIN,IP,H,R,ER,BB,SO,HR,ERA
"Zeuch(L, 0-1)",4.0,6,6,6,2,4,1,13.50
Sanmartin,1.0,2,1,0,1,1,0,6.69
Gibaut,1.0,4,3,3,1,2,0,5.06
Detwiler,1.0,1,0,0,0,1,0,3.26
Strickland,1.0,0,0,0,0,2,0,5.88
,8.0,13,10,9,4,10,1,
