PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
"Walker, T(W, 10-3)",6.0,5,2,2,3,5,0,3.43
Lugo,1.0,1,0,0,0,1,0,3.50
Williams,1.0,0,0,0,1,0,0,3.11
Medina,1.0,0,0,0,0,1,0,2.86
,9.0,6,2,2,4,7,0,
