BATTERS - NYM,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
NimmoCF,3,2,0,0,1,1,3,.269,.776
LindorSS,3,3,2,2,1,1,0,.270,.813
Escobar3B,0,0,0,0,0,0,0,.220,.663
Alonso1B,5,0,3,1,0,0,1,.282,.902
VogelbachDH,5,1,2,3,0,2,2,.246,.812
McNeil2B,3,0,1,2,0,1,2,.307,.808
NaquinRF,4,2,2,1,0,1,2,.263,.818
CanhaLF,2,0,0,0,2,2,1,.264,.736
Guillorme3B-SS,4,1,2,0,0,0,1,.281,.713
McCannC,4,1,1,0,0,2,3,.188,.533
,33,10,13,9,4,10,15,,
