Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2017,21,24.3,,,72,11,593,11.8
2018,22,27.4,4.24,,46,10,282,58.0
2019,23,27.4,4.23,2,72,16,265,61.3
2020,24,27.5,4.25,1,27,14,163,67.6
2021,25,27.0,4.32,,43,35,327,51.7
2022,26,26.8,4.38,,62,44,390,37.6
