 ,2+ Stars (0-90%), , , ,Components of Jump, , ,Jump
Year,Outs,Opp,%,OAA,Reaction,Burst,Route,Feet vs Avg,Feet Covered
2018,3,7,42.9,0,1.9,0.3,-1.1,1.1,34.8
2019,20,38,52.6,3,1.1,0.8,-1.6,0.3,33.8
2020,11,15,73.3,3,0.8,1.6,0.1,2.5,33.5
2021,22,57,38.6,-5,0.5,-0.2,-0.7,-0.4,32.7
2022,41,86,47.7,-2,0.1,-0.5,-0.1,-0.5,32.5
