BATTERS - DET,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Greene, RCF",4,1,1,0,0,1,0,.237,.642
"Reyes, VRF",3,0,1,0,1,1,1,.261,.638
"Báez, JSS",4,0,1,0,0,1,2,.227,.651
"Castro, H1B",4,0,0,1,0,2,2,.282,.714
"Cabrera, MDH",4,0,0,0,0,3,1,.263,.639
Candelario3B,3,0,0,0,0,1,0,.198,.597
HaaseC,2,0,0,0,1,0,0,.235,.689
Schoop2B,3,0,0,0,0,2,1,.201,.544
BaddooLF,3,0,0,0,0,2,0,.174,.455
,30,1,3,1,2,13,7,,
