PITCHERS - CLE,IP,H,R,ER,BB,SO,HR,ERA
Civale,6.0,3,1,1,1,10,0,5.63
"Karinchak(W, 1-0)",1.0,0,0,0,1,2,0,1.62
"Stephan(H, 10)",1.0,0,0,0,0,1,0,2.54
"Clase(S, 27)",1.0,0,0,0,0,0,0,1.27
,9.0,3,1,1,2,13,0,
