PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
Smyly,3.0,4,1,1,0,2,0,3.47
Alzolay,3.0,0,0,0,0,4,0,4.09
"Miley(W, 2-2)",2.0,0,0,0,0,0,0,3.16
"Rodríguez, M(H, 2)",0.2,0,0,0,1,0,0,2.70
"Hughes(S, 8)",0.1,0,0,0,0,1,0,3.02
,9.0,4,1,1,1,7,0,
