PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
"Williams(L, 0-2)",2.0,7,4,4,0,0,0,9.82
Reid-Foley,2.2,2,0,0,2,1,0,4.91
Ottavino,1.1,2,1,1,0,3,0,1.50
"Rodríguez, J",1.0,0,0,0,1,0,0,7.94
Medina,1.0,0,0,0,0,3,0,0.00
,8.0,11,5,5,3,7,0,
