PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
Hill,5.0,1,0,0,1,6,0,2.86
"Houck(L, 2-2)",2.1,5,7,7,1,4,1,5.14
"Crawford, K",1.2,2,1,1,0,2,1,10.38
,9.0,8,8,8,2,12,2,
