PITCHERS - DET,IP,H,R,ER,BB,SO,HR,ERA
"Hill, G(L, 1-2)",5.0,5,3,3,2,4,1,5.63
Chafin,1.0,3,2,1,0,1,0,2.45
"Jiménez, J",1.0,0,0,0,0,2,0,3.28
Cisnero,1.0,2,0,0,0,0,0,0.00
,8.0,10,5,4,2,7,1,
