PITCHERS - OAK,IP,H,R,ER,BB,SO,HR,ERA
Montas,3.0,3,0,0,1,5,0,3.16
Pruitt,2.0,0,0,0,1,2,0,4.68
"Acevedo(W, 2-2)",1.0,0,0,0,0,2,0,2.95
Puk,1.0,2,0,0,0,0,0,2.29
Moll,1.0,0,0,0,0,1,0,1.88
Trivino,1.0,0,0,0,0,2,0,6.35
,9.0,5,0,0,2,12,0,
