BATTERS - OAK,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Machín3B,4,1,1,0,0,1,0,.212,.505
LaureanoCF,4,1,2,0,0,1,0,.236,.726
"Murphy, SDH",4,1,1,3,0,1,1,.239,.723
"Brown, SRF",4,1,2,0,0,1,0,.223,.687
AndrusSS,3,0,1,0,1,0,2,.226,.652
VogtC,2,0,0,1,1,0,2,.145,.521
"Garcia, Der1B",4,1,2,0,0,2,2,.400,.900
KempLF,4,0,1,1,0,0,4,.204,.544
"Allen, N2B",3,0,0,0,0,1,1,.194,.527
,32,5,10,5,2,7,12,,
