PITCHERS - HOU,IP,H,R,ER,BB,SO,HR,ERA
"Valdez, F",3.0,2,1,1,5,3,0,0.93
Blanco,1.0,1,0,0,2,2,0,3.86
Javier,3.0,0,0,0,0,5,0,0.00
Montero,1.0,1,0,0,0,2,0,0.00
Neris,1.0,1,0,0,0,1,0,0.00
"Pressly(L, 0-1)(BS, 1)",0.1,1,2,1,2,0,0,2.70
,9.1,6,3,2,9,13,0,
