PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
Taillon,4.2,2,6,5,4,6,2,3.96
"Luetge(L, 3-4)",1.2,3,1,1,0,0,1,2.82
Effross,0.2,1,0,0,0,0,0,2.62
"Abreu, A",1.1,2,1,1,0,1,0,2.30
Trivino,0.2,0,0,0,0,1,0,6.34
,9.0,8,8,7,4,8,3,
