PITCHERS - DET,IP,H,R,ER,BB,SO,HR,ERA
Manning,7.0,4,0,0,3,7,0,2.25
Lange,1.0,0,0,0,0,1,0,2.93
"Soto, G(L, 2-6)",0.2,2,5,5,3,0,0,3.26
Foley,0.1,3,2,2,0,1,0,3.32
,9.0,9,7,7,6,9,0,
