BATTERS - TB,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Díaz, Y3B",4,1,0,1,1,1,1,.276,.774
"Lowe, BDH",4,1,1,2,1,2,1,.253,.784
ArozarenaLF,4,1,1,2,1,0,1,.258,.739
Choi1B,3,0,0,0,0,2,1,.251,.755
a-QuinnPH-RF,2,0,1,1,0,0,0,.219,.603
Paredes2B-1B,5,1,2,0,0,1,1,.222,.762
"Raley, LRF",3,0,2,0,0,0,0,.200,.609
b-BethancourtPH,1,0,0,0,0,0,1,.238,.652
WallsSS,0,0,0,0,0,0,0,.171,.545
"Mejía, FC",3,1,1,0,1,0,3,.255,.693
SiriCF,3,1,0,0,1,3,2,.170,.517
ChangSS-2B,3,1,1,1,1,0,1,.226,.624
,35,7,9,7,6,9,12,,
