Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2016,L,79,0,0.0,.292,
2017,L,214,7,3.3,.348,.327
2018,L,533,64,12.0,.387,.376
2019,L,252,96,38.1,.429,.196
2020,L,225,69,30.7,.381,.400
2021,L,385,124,32.2,.348,.415
2022,L,672,103,15.3,.357,.321
