Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
New York Mets,MLB,April,76,63,11,17,3,1,3,7,12,13,0,0,0,.270,.387,.492,.879
New York Mets,MLB,May,110,94,18,29,5,3,0,10,11,16,0,0,2,.309,.385,.426,.811
New York Mets,MLB,June,110,98,13,25,6,1,2,7,5,20,0,1,6,.255,.327,.398,.725
New York Mets,MLB,July,118,108,20,24,4,0,5,15,9,22,0,1,1,.222,.288,.398,.686
New York Mets,MLB,August,131,110,17,31,7,0,2,5,15,23,0,0,6,.282,.397,.400,.797
New York Mets,MLB,September,111,91,20,24,3,2,2,14,18,21,3,0,1,.264,.391,.407,.798
New York Mets,MLB,October,17,16,3,9,2,0,2,6,1,1,0,0,0,.563,.588,1.063,1.651
New York Mets,MLB,Pre All-Star,376,325,59,88,17,5,9,33,37,66,0,2,9,.271,.358,.437,.795
New York Mets,MLB,Post All-Star,297,255,43,71,13,2,7,31,34,50,3,0,7,.278,.378,.427,.805
