Season,Outs Above Average,,Back Left,Back,Back Right,Back All,In Left,In,In Right,In All,Expected Catch Percentage (%),Actual Catch Percentage (%),Catch Percentage Added (%)
2016,0,,0,0,0,0,0,1,0,0,84,85,1
2017,2,,0,1,0,0,0,2,0,1,89,91,2
2018,4,,-1,1,0,1,1,1,2,4,89,91,2
2019,2,,-1,1,0,0,0,1,1,1,89,90,1
2020,-2,,-1,0,-1,-2,1,-1,0,0,85,83,-2
2021,4,,1,0,0,2,0,0,2,2,89,91,2
2022,6,,3,1,1,5,-1,1,1,1,90,91,1
