Season,Team,Pos,PA,Depth (ft.),Angle
2016,NYM,8,37,310,1
2016,NYM,9,180,292,27
2016,NYM,7,379,290,-28
2017,NYM,9,247,292,24
2017,NYM,7,1154,289,-27
2017,NYM,8,330,313,0
2018,NYM,8,1460,315,1
2018,NYM,7,1018,293,-27
2018,NYM,9,1893,296,27
2019,NYM,9,155,295,27
2019,NYM,8,1211,314,1
2019,NYM,7,662,293,-27
2020,NYM,8,1335,322,1
2020,NYM,7,382,294,-28
2020,NYM,9,158,297,27
2021,NYM,8,2827,325,1
2021,NYM,7,135,294,-28
2022,NYM,8,5283,328,0
