Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2016,,17.9,1,1.0,0,0,1,0,0.0
2017,,18.3,5,4.9,0,5,3,2,40.0
2018,,17.8,17,14.8,2,8,12,5,29.4
2019,,17.7,8,5.1,3,2,7,1,12.5
2020,,17.8,8,8.7,-1,3,6,4,50.0
2021,,18.3,8,8.0,0,2,3,5,62.5
2022,,19.2,16,17.0,-1,7,16,6,37.5
Player,,18.3,63,59.5,4,27,48,23,36.5
