Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2016,23,28.7,4.16,4,11,13,75,89.2
2017,24,28.6,4.23,4,15,15,90,86.7
2018,25,28.5,4.23,4,14,16,112,83.4
2019,26,28.5,4.21,,42,18,114,83.5
2020,27,28.0,4.32,,37,16,118,76.6
2021,28,28.9,4.2,10,30,5,57,91.7
2022,29,28.7,4.18,30,39,7,99,84.3
