Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Syracuse Mets,Triple-A,Home Games,31,24,4,4,1,0,0,0,5,3,0,0,2,.167,.355,.208,.563
Syracuse Mets,Triple-A,Away Games,5,5,1,1,0,0,0,0,0,0,0,0,0,.200,.200,.200,.400
Syracuse Mets,Triple-A,Day Games,7,5,1,2,0,0,0,0,2,0,0,0,0,.400,.571,.400,.971
Syracuse Mets,Triple-A,Night Games,29,24,4,3,1,0,0,0,3,3,0,0,2,.125,.276,.167,.443
Syracuse Mets,Triple-A,Leading Off,14,12,,5,1,0,0,0,1,0,,,1,.417,.500,.500,1.000
Syracuse Mets,Triple-A,Late / Close,4,2,,0,0,0,0,0,2,1,,,0,.000,.500,.000,.500
