Name,Year,0ft,5ft,10ft,15ft,20ft,25ft,30ft,35ft,40ft,45ft,50ft,55ft,60ft,65ft,70ft,75ft,80ft,85ft,90ft
"Nimmo, Brandon - LHB",2016,0.00,0.53,0.80,1.05,1.28,1.50,1.71,1.90,2.09,2.28,2.46,2.63,2.81,2.98,3.15,3.32,3.49,3.66,3.84
"Nimmo, Brandon - LHB",2017,0.00,0.53,0.81,1.06,1.29,1.51,1.72,1.92,2.11,2.29,2.47,2.64,2.82,2.99,3.16,3.33,3.50,3.67,3.85
"Nimmo, Brandon - LHB",2018,0.00,0.53,0.81,1.06,1.30,1.52,1.73,1.93,2.12,2.30,2.48,2.66,2.84,3.01,3.18,3.35,3.52,3.69,3.87
"Nimmo, Brandon - LHB",2019,0.00,0.52,0.81,1.06,1.29,1.51,1.72,1.92,2.11,2.29,2.47,2.65,2.82,2.99,3.16,3.34,3.51,3.68,3.86
"Nimmo, Brandon - LHB",2020,0.00,0.55,0.86,1.12,1.35,1.58,1.78,1.98,2.17,2.36,2.54,2.72,2.90,3.08,3.25,3.43,3.60,3.79,3.96
"Nimmo, Brandon - LHB",2021,0.00,0.53,0.82,1.08,1.31,1.52,1.72,1.91,2.10,2.28,2.46,2.64,2.81,2.98,3.15,3.32,3.49,3.66,3.84
"Nimmo, Brandon - LHB",2022,0.00,0.54,0.84,1.10,1.33,1.54,1.74,1.94,2.12,2.30,2.48,2.65,2.83,2.99,3.17,3.33,3.50,3.68,3.86

