,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2016,NYM,NL,32,80,73,12,20,1,0,1,6,6,20,0,0,1,.274,.338,.329,.667
,2017,NYM,NL,69,215,177,26,46,11,1,5,21,33,60,2,0,2,.260,.379,.418,.797
,2018,NYM,NL,140,535,433,77,114,28,8,17,47,80,140,9,6,22,.263,.404,.483,.887
,2019,NYM,NL,69,254,199,34,44,11,1,8,29,46,71,3,0,5,.221,.375,.407,.782
,2020,NYM,NL,55,225,186,33,52,8,3,8,18,33,43,1,2,6,.280,.404,.484,.888
,2021,NYM,NL,92,386,325,51,95,17,3,8,28,54,79,5,4,5,.292,.401,.437,.838
,2022,NYM,NL,151,673,580,102,159,30,7,16,64,71,116,3,2,16,.274,.367,.433,.800
,7 Seasons,NYM,NL,608,2368,1973,335,530,106,23,63,213,323,529,23,14,57,.269,.385,.441,.826
