 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2017,,31,120,-1,-2,0,0,-3
2018,,108,432,-1,-6,2,1,-4
2019,,405,"1,659",4,-13,5,5,1
2020,,162,589,4,1,-2,2,5
2021,,438,"1,812",-4,-21,10,7,-8
2022,,646,"2,615",-3,-13,13,14,11
