,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,647,574,78,138,33,89,0,.240,.318,.455,.773
6 Seasons,1794,1644,211,403,83,238,3,.245,.300,.454,.754
