Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2017,22,27.0,,,45,13,327,51.4
2018,23,26.9,4.49,,48,29,343,48.9
2019,24,27.5,4.42,,32,36,245,64.3
2020,25,26.7,,,44,37,269,46.4
2021,26,26.1,4.69,,58,63,464,31.4
2022,27,26.4,4.67,,65,62,440,29.5
