Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2022,,23.1,26,24.3,2,8,24,6,23.1
Player,,23.1,26,24.3,2,8,24,6,23.1
