Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2015,27,29.0,4.3,4,17,4,37,94.7
2016,28,28.8,,,25,5,65,90.7
2017,29,28.6,4.26,,34,5,89,86.9
2018,30,28.2,4.34,,40,4,139,79.4
2019,31,28.1,4.33,,55,4,166,75.8
2020,32,28.2,4.39,2,17,3,90,82.2
2021,33,27.8,4.39,,20,4,210,69.0
2022,34,27.8,4.42,1,41,3,249,60.2
