 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2012,,115,15.9,37.4%,2.6%,59,22.7,1.7%,3.4%
2013,,631,17.5,22.7%,1.1%,301,24.4,0.3%,13.0%
2014,,326,17.3,21.8%,2.1%,201,25.2,0.0%,15.4%
2015,,688,19.1,18.8%,7.8%,402,28.0,3.7%,40.5%
2016,,50,20.1,10.0%,6.0%,38,25.1,2.6%,26.3%
2017,,546,19.5,3.8%,2.7%,329,26.9,0.0%,22.2%
2018,,450,21.2,0.7%,5.6%,317,27.5,0.0%,30.3%
2019,,332,21.2,2.7%,6.9%,232,27.8,0.0%,34.1%
2020,,221,19.9,5.9%,3.6%,123,26.1,0.0%,30.9%
2021,,331,21.2,1.8%,4.2%,253,27.9,0.4%,34.8%
2022,,451,19.1,9.5%,3.5%,301,23.6,0.7%,10.3%
