Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2016,R,43,0,0.0,.317,
2017,R,462,11,2.4,.339,.271
2018,R,458,90,19.7,.328,.379
2019,R,341,159,46.6,.273,.402
2020,R,208,104,50.0,.369,.343
2021,R,418,131,31.3,.379,.366
2022,R,527,259,49.1,.313,.281
