PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
"Gausman(W, 2-1)",7.0,6,2,2,0,10,0,2.27
"Mayza(H, 5)",1.0,1,0,0,0,1,0,1.00
"Romano(S, 11)",1.0,1,0,0,0,1,0,1.46
,9.0,8,2,2,0,12,0,
