Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2015,26,27.2,4.61,,49,28,277,59.1
2016,27,27.2,4.53,,50,28,297,56.8
2017,28,27.1,4.5,,52,25,325,51.7
2018,29,27.2,4.46,,48,16,306,54.4
2019,30,26.7,4.58,,58,16,370,46.0
2020,31,26.1,4.67,,52,16,346,31.0
2021,32,26.5,4.63,,59,19,409,39.6
2022,33,26.4,4.7,,54,12,447,28.4
