Season,Team,Pos,PA,Depth (ft.),Angle
2016,COL,4,5303,149,14
2017,COL,4,5558,152,14
2018,COL,4,4718,151,14
2019,NYY,5,1667,112,-26
2019,NYY,4,2432,149,13
2019,NYY,3,1066,107,36
2020,NYY,4,1165,148,13
2020,NYY,5,359,116,-22
2020,NYY,3,104,109,36
2021,NYY,5,1233,115,-24
2021,NYY,3,1309,109,36
2021,NYY,4,2732,149,13
2022,NYY,5,1562,118,-30
2022,NYY,4,1299,150,11
2022,NYY,3,1084,108,36
