Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2016,,21.4,11,10.1,1,6,11,3,27.3
2017,,21.8,8,8.2,0,7,8,2,25.0
2018,,21.8,15,12.9,2,8,13,3,20.0
2019,,22.2,29,21.8,7,11,22,7,24.1
2020,,21.9,10,7.4,3,5,8,2,20.0
2021,,22.8,10,9.2,1,7,9,3,30.0
2022,,22.5,12,12.4,0,3,17,1,8.3
Player,,22.1,95,82.1,13,47,88,21,22.1
