,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,541,467,74,122,12,46,4,.261,.357,.377,.734
12 Seasons,5890,5306,809,1576,107,581,91,.297,.356,.418,.774
