BATTERS - CIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
India2B,4,1,2,0,0,1,0,.214,.575
Drury3B,4,0,0,0,0,2,2,.266,.844
PhamLF,4,0,2,1,0,0,1,.252,.750
NaquinRF,4,0,0,0,0,2,1,.248,.751
PapierskiC,0,0,0,0,0,0,0,.120,.361
"Farmer, KSS",4,0,0,0,0,1,0,.275,.744
Moustakas1B,3,0,1,0,1,1,0,.210,.612
SolanoDH,4,1,3,1,0,1,1,.273,.802
Almora Jr.CF-RF,4,0,0,0,0,1,4,.244,.653
"Garcia, ArC",2,0,0,0,0,2,0,.217,.516
a-SenzelPH-CF,1,0,0,0,0,0,0,.250,.629
,34,2,8,2,1,11,9,,
