PITCHERS - PIT,IP,H,R,ER,BB,SO,HR,ERA
"Contreras(W, 3-2)",6.0,4,1,1,1,7,1,3.78
"Underwood Jr.(H, 5)",1.0,1,0,0,0,2,0,3.98
"Crowe(H, 9)",1.0,2,1,1,0,1,0,3.40
"Bednar(S, 14)",1.0,1,0,0,0,1,0,2.31
,9.0,8,2,2,1,11,1,
