Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2016,R,618,70,11.3,.321,.262
2017,R,630,75,11.9,.361,.312
2018,R,599,148,24.7,.389,.339
2019,R,650,298,45.8,.345,.423
2020,R,230,160,69.6,.377,.312
2021,R,574,317,55.2,.313,.301
2022,R,628,508,80.9,.338,.345
