Season,Team,Pos,PA,Depth (ft.),Angle
2016,CIN,5,5603,112,-33
2016,CIN,6,47,144,-10
2017,CIN,5,5685,112,-32
2017,CIN,6,12,145,-12
2018,CIN,6,45,146,-11
2018,CIN,5,5257,114,-32
2019,CIN,5,5382,120,-29
2020,CIN,5,1995,122,-28
2021,CIN,6,1216,146,-10
2021,CIN,5,3855,120,-31
2022,SEA,5,4717,121,-31
