 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2014,,277,"1,091",-10,-1,8,4,1
2015,,398,"1,581",-2,-1,8,4,9
2016,,627,"2,594",-11,-8,17,9,7
2017,,631,"2,684",0,-11,27,10,26
2018,,596,"2,424",22,-15,18,13,38
2019,,641,"2,650",2,0,19,10,30
2020,,240,"1,042",-7,2,4,6,5
2021,,574,"2,391",-13,-30,18,11,-14
2022,,650,"2,695",-3,-9,22,13,23
