,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2016,HOU,AL,59,136,120,15,26,4,3,1,7,14,27,2,1,0,.217,.296,.325,.621
,2017,HOU,AL,17,39,37,6,8,1,0,0,4,1,5,1,0,1,.216,.256,.243,.499
,2018,HOU,AL,97,295,255,37,67,15,0,6,30,32,44,9,3,3,.263,.351,.392,.743
,2019,HOU,AL,66,186,163,23,37,6,2,7,17,16,29,4,3,4,.227,.308,.417,.725
,2019,CHC,NL,44,93,82,8,15,3,2,1,12,7,18,0,1,2,.183,.258,.305,.563
,2019,2 Teams,,110,279,245,31,52,9,4,8,29,23,47,4,4,6,.212,.291,.380,.671
,2020,OAK,AL,49,114,93,15,23,5,0,0,4,15,14,3,1,3,.247,.363,.301,.664
,2021,OAK,AL,131,397,330,54,92,16,3,8,37,52,51,8,2,6,.279,.382,.418,.800
,2022,OAK,AL,147,558,497,61,117,24,2,7,46,45,69,11,1,8,.235,.307,.334,.641
,7 Seasons,3 Teams,,610,1818,1577,219,385,74,12,30,157,182,257,38,12,27,.244,.330,.363,.693
