 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,131,78.0,73.8,--,--,127,73.8,--,--,--,--,4,--,--,--,--,--
2021,426,83.5,79.2,--,--,297,75.0,--,--,2,--,127,79.2,--,--,--,--
2022,530,88.2,82.2,--,--,333,76.6,--,--,--,--,197,82.2,--,--,--,--
