Season,Team,Pos,PA,Depth (ft.),Angle
2016,HOU,8,14,308,-1
2016,HOU,9,14,273,27
2016,HOU,4,71,145,14
2016,HOU,7,892,286,-28
2017,HOU,7,278,291,-28
2017,HOU,8,83,315,-1
2018,HOU,9,70,287,27
2018,HOU,4,87,145,15
2018,HOU,8,944,307,-1
2018,HOU,7,1601,287,-27
2019,CHC,7,107,293,-26
2019,CHC,8,5,314,2
2019,CHC,9,110,287,28
2019,CHC,4,374,144,12
2019,HOU,7,306,295,-26
2019,HOU,4,892,146,11
2019,HOU,8,294,310,0
2020,OAK,7,59,288,-29
2020,OAK,4,1086,146,13
2021,OAK,7,1425,291,-25
2021,OAK,4,2225,146,13
2021,OAK,6,6,147,-14
2022,OAK,4,2638,147,12
2022,OAK,7,2131,299,-26
