Year,xwOBA,xBA,xSLG,xISO,xOBP,Brl,Brl%,EV,Max EV,"Hard
Hit%",K%,BB%,Whiff%,"Chase
Rate",Speed,OAA,"Arm
Strength"
2016,,,,,,,,,23,,,,,,66,,
2017,,,,,,,,,18,,,,,,44,,
2018,,,,,,,,,26,,,,,,62,46,
2019,,,,,,,,,25,,,,,,38,92,
2020,,,,,,,,,7,,,,,,44,72,4
2021,40,46,11,8,84,1,2,11,22,2,97,92,93,88,42,78,20
2022,2,11,1,2,22,3,2,1,11,1,94,48,98,49,24,83,31
