Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2016,,22.5,1,1.0,0,0,1,0,0.0
2018,,22.7,7,3.5,4,5,4,0,0.0
2019,,22.5,8,4.8,3,5,5,2,25.0
2020,,--,0,0.7,-1,2,1,0,--
2021,,24.8,8,6.7,1,7,8,1,12.5
2022,,24.1,7,7.2,0,3,9,0,0.0
Player,,23.5,31,23.8,7,22,28,3,9.7
