Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2016,L,129,6,4.7,.268,.146
2017,L,39,1,2.6,.231,.000
2018,L,293,1,0.3,.328,.000
2019,L,273,55,20.1,.288,.300
2020,L,114,41,36.0,.269,.375
2021,L,397,167,42.1,.344,.362
2022,L,557,342,61.4,.316,.271
