Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2016,24,27.6,4.15,,44,22,234,66.0
2017,25,26.7,,,56,44,374,44.4
2018,26,27.5,4.16,,42,37,257,61.7
2019,27,26.3,4.3,,66,51,425,37.9
2020,28,26.6,,,46,29,282,43.8
2021,29,26.6,4.42,,58,39,395,41.6
2022,30,26.2,4.46,,66,31,473,24.2
