BATTERS - SD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
GrishamCF,5,0,1,0,0,1,2,.153,.511
"Machado, M3B",5,0,2,0,0,1,0,.355,.992
Hosmer1B,4,0,1,0,0,0,3,.336,.880
ProfarLF,4,1,1,0,0,0,3,.192,.697
MyersRF,4,1,1,0,0,1,2,.233,.571
"Canó, R2B",4,0,1,1,0,2,0,.204,.491
"Alcántara, Se2B",0,0,0,0,0,0,0,.189,.521
VoitDH,3,0,1,0,1,2,2,.174,.600
KimSS,3,0,1,1,0,1,1,.221,.735
"Nola, AuC",4,0,1,0,0,2,2,.208,.537
,36,2,10,2,1,10,15,,
