PITCHERS - DET,IP,H,R,ER,BB,SO,HR,ERA
"Skubal(L, 5-5)",4.2,6,6,6,3,5,1,3.63
"Jiménez, J",1.1,1,0,0,0,2,0,3.71
"Peralta, Wi",1.0,1,0,0,0,0,0,1.91
Foley,1.0,1,0,0,0,3,0,3.04
,8.0,9,6,6,3,10,1,
