,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,560,505,55,123,7,41,20,.244,.314,.345,.659
3 Seasons,1051,952,121,248,18,90,30,.261,.326,.386,.712
