 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2020,,93,388,5,0,2,2,9
2021,,396,"1,532",-2,-18,9,10,-1
2022,,560,"2,227",-13,-14,7,8,-12
