 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,114,84.1,79.6,--,--,--,--,--,--,--,--,105,79.1,--,--,9,--
2021,334,88.1,83.2,--,--,--,--,--,--,--,--,--,--,--,--,334,83.2
2022,428,93.2,85.8,--,--,--,--,--,--,--,--,--,--,--,--,428,85.8
