,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2018,WSH,NL,116,494,414,77,121,25,1,22,70,79,99,5,2,0,.292,.406,.517,.923
,2019,WSH,NL,150,659,542,110,153,32,5,34,110,108,132,12,1,3,.282,.401,.548,.949
,2020,WSH,NL,47,196,154,39,54,14,0,13,37,41,28,6,2,1,.351,.490,.695,1.185
*,2021,WSH,NL,151,654,502,111,157,20,2,29,95,145,93,9,7,2,.313,.465,.534,.999
*,2022,WSH,NL,101,436,342,62,84,17,1,21,46,91,62,6,2,3,.246,.408,.485,.893
*,2022,SD,NL,52,228,182,31,43,8,1,6,16,44,34,0,0,1,.236,.388,.390,.778
*,2022,2 Teams,,153,664,524,93,127,25,2,27,62,135,96,6,2,4,.242,.401,.452,.853
,5 Seasons,2 Teams,,617,2667,2136,430,612,116,10,125,374,508,448,38,14,10,.287,.424,.526,.950
