Year,Pitch Type,#,%,PA,AB,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff%,PutAway%
2022,Fastballs,"1,473",53.3,378,288,84,46,17,1,20,46,242,.292,.286,.566,.574,.442,.443,93.1,14,15.0,13.9
2022,Breaking,794,28.7,159,131,21,13,4,0,4,32,99,.160,.240,.282,.406,.277,.350,88.9,8,23.9,13.6
2022,Offspeed,498,18.0,121,105,22,14,4,1,3,18,87,.210,.243,.352,.422,.300,.338,87.0,-5,26.1,11.7
2021,Fastballs,"1,445",55.6,354,273,101,63,15,1,22,45,233,.370,.334,.674,.635,.487,.475,95.4,9,16.9,11.8
2021,Breaking,708,27.2,171,145,34,24,4,1,5,30,115,.234,.277,.379,.466,.325,.375,90.6,3,23.8,16.0
2021,Offspeed,448,17.2,106,84,22,19,1,0,2,18,66,.262,.259,.345,.390,.351,.365,88.5,-1,25.7,15.3
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
