Team,L,Type,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP
Indianapolis Indians,Triple-A,vs Left,,,,1,,,2.0,6,0,,,0,0,4,0.00
Indianapolis Indians,Triple-A,vs Right,,,,1,,,3.1,15,2,,,1,3,3,1.50
