Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2011,HOU,NL,P,20,15,94.0,24,5,18,1,0,,.958
2012,HOU,NL,P,25,25,141.1,27,7,19,1,2,,.963
2013,HOU,AL,P,27,25,141.2,31,12,18,1,1,,.968
2014,COL,NL,P,22,22,126.2,31,11,19,1,2,,.968
2015,COL,NL,P,10,10,49.0,11,2,8,1,0,,.909
2016,COL,NL,P,40,5,58.2,10,4,5,1,1,,.900
2017,COL,NL,P,33,0,46.2,5,1,4,0,2,,1.000
2017,SD,NL,P,5,5,23.0,3,1,2,0,0,,1.000
2017,2 Teams,,P,38,5,69.2,8,2,6,0,2,,1.000
2018,SD,NL,P,24,8,71.1,14,6,7,1,0,,.929
2018,MIL,NL,P,11,0,16.1,0,0,0,0,0,,.000
2018,2 Teams,,P,35,8,87.2,14,6,7,1,0,,.929
2019,PIT,NL,P,17,17,82.1,14,4,8,2,1,,.857
2019,MIL,NL,P,11,11,58.2,6,2,3,1,0,,.833
2019,2 Teams,,P,28,28,141.0,20,6,11,3,1,,.850
2020,TEX,AL,P,12,9,57.2,11,1,8,2,0,,.818
2021,TEX,AL,P,32,30,180.0,23,8,15,0,0,,1.000
2022,BAL,AL,P,32,32,179.0,28,13,15,0,2,,1.000
12 Seasons,7 Teams,,P,321,214,1326.1,238,77,149,12,11,,.950
